RequestID,Pickup_Latitude,Pickup_Longitude,Drop_Latitude,Drop_Longitude,Request_Time,Traffic_Level,ingestion_date,source_system,ingestion_id
103,12.962871196215266,77.60812702432202,12.961905523257265,77.56732085563878,2025-09-19 16:30:00,Medium,2025-09-20 22:45:39,ride_hailing_app,1
180,12.927504188829198,77.55637095495469,12.951648877659792,77.62822952657706,2025-09-19 22:55:00,Medium,2025-09-20 22:45:39,ride_hailing_app,2
93,13.05215700972338,77.66452011213194,12.955476236596226,77.6015220757369,2025-09-19 15:40:00,Low,2025-09-20 22:45:39,ride_hailing_app,3
15,12.93636499344142,77.64243584426951,13.02636744243396,77.67471572482135,2025-09-19 09:10:00,Low,2025-09-20 22:45:39,ride_hailing_app,4
107,12.982076584607126,77.60326006966024,13.082185436898769,77.56447076899495,2025-09-19 16:50:00,Medium,2025-09-20 22:45:39,ride_hailing_app,5
72,12.939743136306834,77.66202267893584,13.093975765341527,77.67935308492528,2025-09-19 13:55:00,High,2025-09-20 22:45:39,ride_hailing_app,6
189,13.005930115671202,77.65012295032817,12.925609167791556,77.59240116072883,2025-09-19 23:40:00,Medium,2025-09-20 22:45:39,ride_hailing_app,7
21,13.022370578944477,77.63152257846006,13.058315808745167,77.53690420387127,2025-09-19 09:40:00,Medium,2025-09-20 22:45:39,ride_hailing_app,8
103,12.962871196215266,77.60812702432202,12.961905523257265,77.56732085563878,2025-09-19 16:30:00,Medium,2025-09-20 22:45:39,ride_hailing_app,9
122,13.079218259984698,77.64291918454002,12.976178171326204,77.53624661323313,2025-09-19 18:05:00,High,2025-09-20 22:45:39,ride_hailing_app,10
75,13.041371468769524,77.60226847977219,13.00554022181726,77.58207936539793,2025-09-19 14:10:00,Low,2025-09-20 22:45:39,ride_hailing_app,11
88,13.027511494271042,77.60852892694152,12.956192637918448,77.55599581873206,2025-09-19 15:15:00,High,2025-09-20 22:45:39,ride_hailing_app,12
117,13.060734415379825,77.58179058888285,12.97529267337561,77.66612388155755,2025-09-19 17:40:00,Medium,2025-09-20 22:45:39,ride_hailing_app,13
100,12.92157828539866,77.51706949299876,13.09724214889592,77.59622802037096,2025-09-19 16:15:00,High,2025-09-20 22:45:39,ride_hailing_app,14
104,13.00171413823294,77.62748598029964,13.06275900394139,77.52688293538779,2025-09-19 16:35:00,Medium,2025-09-20 22:45:39,ride_hailing_app,15
152,12.947912378133395,77.67129796823767,13.070436300063708,77.6879664247227,2025-09-19 20:35:00,High,2025-09-20 22:45:39,ride_hailing_app,16
131,12.983482200629757,77.57119453573026,13.062580201826016,77.5328531595862,2025-09-19 18:50:00,High,2025-09-20 22:45:39,ride_hailing_app,17
150,12.955729292847325,77.62517198314285,13.054463678347128,77.6248475991828,2025-09-19 20:25:00,Low,2025-09-20 22:45:39,ride_hailing_app,18
53,13.087899788312836,77.67022733430338,12.984844401849395,77.61736822360417,2025-09-19 12:20:00,High,2025-09-20 22:45:39,ride_hailing_app,19
2,13.090142861281985,77.51682799299901,13.080510581335911,77.5557180678064,2025-09-19 08:05:00,Medium,2025-09-20 22:45:39,ride_hailing_app,20
88,13.027511494271042,77.60852892694152,12.956192637918448,77.55599581873206,2025-09-19 15:15:00,High,2025-09-20 22:45:39,ride_hailing_app,21
158,13.052323923065744,77.6171551162547,12.905756535262668,77.60669221839527,2025-09-19 21:05:00,Low,2025-09-20 22:45:39,ride_hailing_app,22
38,12.919534422801275,77.5048631932863,13.06437201185807,77.54849410072694,2025-09-19 11:05:00,Medium,2025-09-20 22:45:39,ride_hailing_app,23
130,13.002149460515511,77.54954619790023,13.07294447525101,77.53273118857314,2025-09-19 18:45:00,High,2025-09-20 22:45:39,ride_hailing_app,24
192,13.079443151590665,77.5825235353823,13.028174948960643,77.61724596640336,2025-09-19 23:55:00,High,2025-09-20 22:45:39,ride_hailing_app,25
188,13.011040162319892,77.53548790875594,12.92577594438213,77.58017028335273,2025-09-19 23:35:00,Medium,2025-09-20 22:45:39,ride_hailing_app,26
21,13.022370578944477,77.63152257846006,13.058315808745167,77.53690420387127,2025-09-19 09:40:00,Medium,2025-09-20 22:45:39,ride_hailing_app,27
161,12.97355662654385,77.5776339852413,13.040815953619845,77.53033497594654,2025-09-19 21:20:00,High,2025-09-20 22:45:39,ride_hailing_app,28
58,12.93919657248383,77.639205959335,12.993732128398824,77.57261645927973,2025-09-19 12:45:00,Low,2025-09-20 22:45:39,ride_hailing_app,29
22,12.927898772130408,77.6136617206671,13.05792362855891,77.54186986466735,2025-09-19 09:45:00,High,2025-09-20 22:45:39,ride_hailing_app,30
89,13.077442548515265,77.55730825042566,13.09008229681531,77.65389858663839,2025-09-19 15:20:00,Medium,2025-09-20 22:45:39,ride_hailing_app,31
49,13.009342055868656,77.69272399541785,12.975251917106185,77.65783424772147,2025-09-19 12:00:00,High,2025-09-20 22:45:39,ride_hailing_app,32
59,12.909045457782108,77.61401223401788,12.911260655136369,77.62918344826632,2025-09-19 12:50:00,High,2025-09-20 22:45:39,ride_hailing_app,33
